strain,type,rating,effects,flavor,description
Cannadential,hybrid,4.1,"Euphoric,Happy,Relaxed,Uplifted,Energetic","Earthy,Pungent,Diesel","Grows like Cannalope Haze, tastes like LA Confidential. This plant is the perfect mix of indica/sativa. Heavy buds and a fruity smell brought to us by those crazy geneticists from DNA Genetics. Anything crossed into the LA strain results in something special, every time."
Cannalope-Haze,sativa,4.2,"Happy,Relaxed,Energetic,Uplifted,Creative","Sweet,Tropical,Flowery","Like the name suggests, Cannalope Haze is a sweet mix of tropical, melon, and floral flavors. Almost a pure sativa that crosses Haze Brothers Original Haze and a Mexican landrace, this strain is a great solution for fatigue and when struggling with appetite loss. The smooth taste and hefty resin production make it great for producing concentrates."
Cannalope-Kush,hybrid,4.5,"Uplifted,Happy,Relaxed,Euphoric,Focused","Sweet,Earthy,Woody","Cannalope Kush from DNA Genetics mixes the powerful effects of OG #18 with the sweet fruity flavors of Cannalope Haze. Though it is sativa-dominant, many enjoy the balancing act of the underlying indica influence. This hybrid delivers a pleasant light smoke with woody undertones alongside an energetic burst of cerebral activity and euphoria."
Cannasutra,indica,4.8,"Relaxed,Euphoric,Sleepy,Happy,Aroused","Earthy,Sweet,Berry","CannaSutra by Delta 9 Labs is a 70/30 indica-dominant cannabis strain parented by Reclining Buddha and Sensi Star. Appropriately derived from the Sanskrit love guide Kama Sutra, this strain is said to sharpen the senses for enhanced romantic encounters. Mellow and functional enough to leave mental acuity intact, CannaSutra is an excellent indica for daytime indulgence. Its flavor is comparable to that of incense, with sweet hashy accents that leave you feeling relaxed and peaceful as you exhale."
Cannatonic,hybrid,4.3,"Relaxed,Happy,Uplifted,Focused,Euphoric","Earthy,Woody,Sweet","Cannatonic is a unique hybrid strain bred by Spanish seed bank Resin Seeds specifically for its low THC content (rarely above 6%) and high CBD content (6-17%).  A cross between a female MK Ultra and a famous G13 Haze male, it produces a relatively short-lived, mellow high that is also uplifting and powerfully relaxing, thanks to the high CBD content.  As one of the premier medical strains, Cannatonic is often used to treat pain, muscle spasms, anxiety, migraines, and a wide variety of other physiological and psychological symptoms.  Most phenotypes present with a slight earthy odor and a mild, sweet, vaguely citrusy flavor. "
Capers,indica,4.6,"Sleepy,Happy,Hungry,Relaxed,Uplifted","Pungent,Skunk,Earthy","Capers is a mostly indica strain believed to have descended from the Burmese Kush genetic line. Pain and insomnia are crushed under the weight of this indica's relaxing effects, making this powerhouse indica a perfect choice for late night consumption. Its THC content typically falls around 15% with other cannabinoids occuring in trace amounts."
Capleton,hybrid,4,"Sleepy,Tingly,Euphoric,Giggly,Happy","Flowery,Lavender,Rose","Capleton by Irie Genetics is an extremely resinous strain. Created by crossing White Widow and Grateful Dawg, Capleton reeks of chemicals and fuel with intermittent notes of earth and sweetness. The plants grow tall and take 60 to 70 days to flower, depending on the phenotype. Capleton consistently tests at 23% THC and offers consumers long-lasting physical effects.    "
Captain-America-Og,hybrid,4.6,"Relaxed,Uplifted,Euphoric,Creative,Happy","Diesel,Berry,Orange","Captain America OG is a sativa-leaning OG cut with uplifting euphoria and a bright citrus flavor. Relieving anxiety without the debilitating weight of heavier OG crosses, call on “The Captain” for relief of stress as well as nausea, mild physical pain, and muscle spasms. This strain’s moderate body effects and complementary euphoria make it ideal for use any time of the day with mindful dosage.  "
Captains-Cake,hybrid,4.7,"Euphoric,Relaxed,Energetic,Happy,Focused","Earthy,Citrus,Sweet","Captain’s Cake by The Captain’s Connection is a hybrid cross between Girl Scout Cookies and White Fire Alien OG. With bright citrus terpenes on the nose and palate, and a sweet doughy earth aroma, Captain’s Cake is a crowd-pleaser with enjoyable relaxing effects. This strain is euphoric and easy on the limbs in small doses, but can get rather sedating with heavy consumption. Enjoy the laid-back energy of Captain’s Cake into the evening to set you up for a good night’s rest.  "
Caramel-Candy-Kush,hybrid,4.6,"Relaxed,Happy,Focused,Creative,Talkative","Vanilla,Coffee,Sweet","Caramel Candy Kush is an indica-dominant hybrid of Pre-98 Bubba Kush and Ms. Universe bred by Dynasty Seeds. There are two distinct phenotypes, one that is Bubba-dominant and the other that is led by Ms. Universe genetics. Caramel Candy Kush expresses itself with flavors of sugary caramel, fruity notes of cherry and grape, and a creamy coffee finish that offers an immediate rush of heady effects and provide calming relief from chronic pain. The complex terpene profile and excellent resin production make this a great choice for producing hash and other concentrates."
Caramel-Kona-Coffee-Cookies,hybrid,0,None,None,"Caramel Kona Coffee Cookies by Pua Mana 1st Hawaiian Pakalolo Seed Bank is an immensely heavy indica-leaning hybrid. As the name suggests, this flower reeks of burnt sugar, doughy earth, and tropical flora. The flavor is as sweet and caramel as the aroma, but with spicy notes of hash on the finish. Caramel Kona Coffee Cookies was created by crossing Pua Mana’s Caramel Kona Coffee Kush and Herban Tribe’s GSC Forum Cut. This Kush-heavy combination hits the body like an avalanche, leveling stress and worry to the ground. As this intense physical sensation dissipates, it is replaced by mental and physical elation that elevates the mood, making it ideal for social gatherings or dark winter nights.  "
Caramel-Kona-Coffee-Kush,indica,4.5,"Relaxed,Uplifted,Tingly,Hungry,Happy","Coffee,Vanilla,Woody","Caramel Kona Coffee Kush is a flavorful, alliterative cross by Pua Mana 1st Hawaiian Pakalōlō Seed Bank. This sweet wahine is luscious on the palate and heavy on the body, draping the limbs in cushy, weighted relaxation. CKC Kush’s Caramel Kush mother gives this strain its predominant flavor and physical effects, but the strain’s Kona Gold father shines through in latent spicy undertones and heady mental buzz. Noted as one of the most delicious strains in the Pua Mana archives, Caramel Kona Coffee Kush is a perfect strain to shrug off stress and treat yourself at the end of the day.  "
Caramelicious,hybrid,4.2,"Focused,Happy,Relaxed,Euphoric,Creative","Vanilla,Sweet,Coffee","Caramelicious is a hybrid cannabis variety that has sticky buds and a caramel flavor.  A favorite after dinner smoke for some, provides a sweet taste and happy high."
Caramella,indica,4.8,"Aroused,Euphoric,Relaxed","Menthol,Spicy/Herbal,Sweet","Caramella is an 80/20 indica-dominant strain recommended for late nights out with friends as it provides an uplifting and social high. This robust strain produces long colas, deep green leaves, and sticky resin scattered around the plant like fairy dust. This easy-to-grow indica finishes flowering in about 8 to 9 weeks."
Caramelo,sativa,4.1,"Energetic,Happy,Uplifted,Relaxed,Talkative","Sweet,Coffee,Vanilla","The breeders at Delicious Seeds continue to live up to their name with this flavorful 70/30 sativa-dominant hybrid they call Caramelo. Caramelo is derived from the Lavender family, inheriting that signature floral aroma with accents of sweet and spicy fruit. Though made famous by its complex terpene profile, consumers also appreciate Caramelo for its lightweight uplifting effects that promote energy alongside potent symptom relief."
Carl-Sagan,hybrid,4.4,"Happy,Relaxed,Uplifted,Focused,Aroused","Sweet,Earthy,Pine","Sorry to disappoint, but this Carl Sagan won’t send you into the cosmos. Rather, this Sagan is an easy, relaxing cross between Pre-98 Bubba Kush and Bogs Blue Moon Rocks. Named for the late Carl Sagan, Professor of Astronomy and Space Sciences at Cornell University, this strain pays homage to a great astronomer, intellectual, and cannabis activist. Though this hybrid is sativa-dominant, it provides consumers with a very well-balanced buzz. Sagan is great for anyone looking for a strain that’s strong but not overwhelming. This strain also features a tropical aroma, with lingering tastes of guava and passion fruit. "
Carnival,sativa,4.3,"Talkative,Uplifted,Happy,Energetic,Relaxed","Earthy,Pine","Carnival by Ministry of Cannabis is a sativa-dominant strain designed to translate the eccentric, colorful vibe of Carnival from the streets of Brazil into the mind of the consumer. This cerebral strain gets its powerful mental effects from its select Haze mother and its unknown sativa-hybrid father. The scents of citrus and lemon candy explode off the lanky spears created by this plant. Know to thrive both indoors and outdoors, Carnival has a snappy flowering time of only nine weeks. This strain’s upbeat euphoria and general mood alteration makes it a great social strain to share among friends."
Cascadia-Kush,indica,4.6,"Relaxed,Tingly,Sleepy,Aroused,Uplifted","Sweet,Earthy,Flowery","Cascadia Kush is an 80/20 indica bred by Hesperides Gardens in Washington. It combines Alien Kush and Frankenstein genetics to create a powerhouse of relaxing, pain-relieving effects. Cascadia Kush took the award for Best Indica at the 2015 DOPE Cup in Seattle."
Casey-Jones,sativa,4.2,"Uplifted,Happy,Energetic,Creative,Hungry","Earthy,Sweet,Citrus","Choo choo! Casey Jones is coming down the track! Casey was a famous engineer who was killed in a train wreck in 1900. More recently, he's also the name of a Teenage Mutant Ninja Turtles character who's fond of hockey masks and vigilante justice. However, this Casey Jones is a cross between Oriental Express (Trainwreck x Thai) and East Coast Sour Diesel that provides an earthy, sweet palate with subtle hints of citrus. Casey Jones produces pleasant sativa effects that are uplifting and great for releasing your creativity."
Cashus-Clay,hybrid,4.2,"Uplifted,Euphoric,Happy,Talkative,Energetic","Earthy,Pungent,Butter","Cashus Clay, also called Cash Kush, is a clone-only strain from THClones. This flavorful cross is a triumvirate of potent genetics, including True OG, Bubble Gum, and Master Kush. This trio combines rich berry terpenes and pleasurable body effects against a powerful mind expanding euphoria. Even with this strain’s deep indica lineage, the breeder swears by its focused, motivating qualities thus classifying it as a hybrid. Utilize Cashus Clay throughout the day, but mind your dosage. This potent strain can be potentially sedative for the inexperienced consumer.  "
Casper-Og,indica,5,"Relaxed,Sleepy,Euphoric,Hungry,Uplifted","Earthy,Sweet,Pungent","Casper OG is an indica-dominant strain with a unique history. By combining ThaDocta’s Face Off OG and ORGNKID’s Ghost OG, Casper OG (the friendliest OG you know) was brought into being from the great beyond. Known for its squat plants and nine week grow cycle, Casper OG is an ideal indoor grow. This plant delivers traditional indica effects that mellow the mind and body in small doses, but anchors the consumer to the couch with continued use. The terpene profile is rich with OG notes, including earth and delicate citrus. Enjoy Casper OG in the evening to maximize its stress-free relaxation and gradual sedation"
Cat-Piss,sativa,3.9,"Happy,Uplifted,Euphoric,Relaxed,Talkative","Earthy,Woody,Blue,Cheese","Originally a clone-only phenotype of Super Silver Haze, Cat Piss is a sativa-dominant strain that has a uniquely pungent ammonia-like stench reminiscent of its name. It has been crossed with other strains to create seed lines with varying phenotypes including indica-dominant varieties, however it is generally considered to be more of a sativa. The flavors are sweet with undertones of pine, and the high is uplifting and cerebral with a nice relaxing body feel that makes it a good option for daytime use."
Cataract-Kush,hybrid,4.4,"Relaxed,Happy,Hungry,Euphoric,Uplifted","Pungent,Citrus,Sweet","This is the combination of LA Confidential and OG Kush. This strain was created by DNA Genetics and it has blankets of crystals and looks almost grayish-black.The effect is good for pain, eating and sleep disorders. Most describe 
Cataract as a 'creeper' high that keeps on building long after you stop smoking!  This strain has been years in the making and is NOT recommended for the light-weight smoker. After you experience the Cataract Kush you'll think you have cataracts!"
Catfish,sativa,4.8,"Uplifted,Creative,Energetic,Euphoric,Happy","Earthy,Ammonia,Chemical",Catfish is a sativa strain that took 1st place in the High Times' 2014 Michigan Medical Cannabis Cup.
Cbd-Blue-Shark,hybrid,4.3,"Relaxed,Happy,Uplifted,Focused,Euphoric","Blueberry,Flowery,Earthy","CBD Blue Shark by Barney’s Farm is a flavorful 1:1 CBD/THC cross of CBD Shark and Blue Cheese. These strains come together to offer consumers THC and CBD contents of 6.5%, which may help to reduce inflammation while improving mood and alleviating stress. CBD Blue Shark has a complex floral bouquet that contains hints of jasmine, berry, and cheese, making it a unique and challenging flavor palate. If growing this strain, note that it typically takes about 9 weeks to finish flowering. "
Cbd-Critical-Cure,indica,4.6,"Relaxed,Sleepy,Happy,Focused,Euphoric","Sweet,Earthy,Berry","From Barney’s Farm comes CBD Critical Cure (or simply “Critical Cure”), an indica-dominant strain that’s said to combine Critical Kush with a ruderalis variety. Because this strain typically contains about 8 percent CBD and 5 percent THC, Critical Cure can annihilate pain, stress, and inflammation with little psychoactive interference. The indica influence in CBD Critical Cure gives rise to deeply relaxing effects delivered alongside a sweet, earthy flavor."
Cbd-Critical-Mass,indica,4.6,"Relaxed,Happy,Sleepy,Hungry,Uplifted","Earthy,Pungent,Menthol","CBD Critical Mass by Dinafem Seeds is a breeding collaboration in search of truly medicinal properties. According to Dinafem, this strain came out of a genetic mashup between the in-house Critical Mass and an undisclosed strain from CBD Crew. CBD Critical Mass has a 1:1 CBD/THC ratio and generally more pronounced indica-dominant effects. This genetic cross is known to yield an abundant harvest, but plan on supporting the plant’s vigorous growth before flowering. Dinafem recommends utilizing this strain for anorexia, insomnia, muscle pain, and depression.    "
Cbd-Kush,hybrid,4.5,"Relaxed,Happy,Focused,Uplifted,Euphoric","Earthy,Woody,Spicy/Herbal","From the collaborative efforts of CBD Crew and Dutch Passion comes CBD Kush, a hybrid strain with equal parts THC and CBD. Bred from Kandy Kush and an unnamed high-CBD variety, CBD Kush typically tests around 7% in both THC and CBD, which may benefit consumers with a low tolerance or those treating conditions such as pain, inflammation, or anxiety. Its psychoactive effects are subtle, offering a tame experience that eases the muscles into relaxation without too much mental cloudiness. "
Cbd-Lilly,sativa,4.5,"Focused,Happy,Sleepy,Energetic,Euphoric",Citrus,"CBD Lilly, also known as “Piña Colada,” is a CBD-dominant strain with happy effects. Averaging a 3-to-1 CBD:THC ratio, CBD Lilly is a potent medicine for consumers seeking therapeutic effects. This sativa-dominant pairing of Congo IBL and Queen Mother imbues consumers with uplifting euphoria that coaxes laughter and conversation. Its buzz settles down into the body as functional and mild relaxation that helps with inflammation and physical discomfort. The smell has been described as spicy and grassy.  "
Cbd-Mango-Haze,sativa,4.4,"Focused,Relaxed,Uplifted,Energetic,Euphoric","Mango,Tropical,Flowery","CBD Mango Haze is a high-CBD strain released by CBD Crew in 2013. This pleasant and aromatic blend combines the tropical flavors of Mango Haze with the added benefits from high levels of cannabidiol. The buds of CBD Mango Haze express themselves with spicy and sweet notes reminiscent of mango, pineapple, and black pepper. Its CBD:THC ratio can range anywhere from 1:1 – 2:1 and the uplifting sativa-dominant effects draw many medical cannabis consumers to CBD Mango Haze."
Cbd-Ox,indica,5,"Aroused,Sleepy,Happy,Euphoric,Hungry","Sweet,Berry,Flowery","CBD OX by Rare Dankness is a 1:1 CBD/THC strain that grows deep green buds with bright orange hairs. This pleasant strain is a 90% indica-dominant cross of Rare Dankesss’s OX male and a CBD-rich cultivar, Shak. CBD OX has a spicy flavor and deep notes of coffee and berry. The breeder recommends utilizing this strain’s calming effects to abate anxiety and diminish physical discomfort. "
Cbd-Rich-Blessing,sativa,0,None,None,"CBD Rich Blessing by Bodhi Seeds is a 2:1 THC/CBD strain steeped in medicinal cannabis genetics. Created by crossing the famous ACDC strain and the father of the Good Medicine Project (Harlequin x Appalachia), this strain is a mixed THC/CBD strain that masterfully balances potency and functionality. CBD Rich Blessing has been known to pop both THC-rich and CBD-dominant phenotypes that emit a pleasant fragrance of woody and floral terpenes. Utilize this strain to improve mood and contend with inflammation. "
Cbd-Shark,indica,4.5,"Relaxed,Tingly,Happy,Sleepy,Euphoric","Pungent,Nutty,Earthy","CBD Shark is an 80/20 indica-dominant cannabis strain that offers an equal ratio of THC and CBD, a cannabinoid combination that helps patients treat an array of symptoms like pain, anxiety, and inflammation without the overly intoxicating effects induced by many high-THC strains. This clear-headed hybrid descends from a Shark Shock indica, but as for its second parent, we can only be sure that it was some high-CBD variety. Its aroma is comprised of sweet notes of fruit accented by subtle hints of garlic and herb."
Cello-Sweet-Og,hybrid,4,"Sleepy,Relaxed,Uplifted,Creative,Euphoric","Sweet,Spicy/Herbal,Pineapple","Colorado Seed Inc. pays homage to new school and old school genetics in Cello Sweet OG. This cross combines DJ Short’s Flo, a living cannabis virtuoso, and Secret Garden OG, CO Seed’s Kush bomb, to create a connoisseur-quality strain with potency and dimension. With effects that range from cerebral to sedative, this strain contains movements like a symphony, rising into a meditative mind with a decrescendo into full-body relaxation. "
Central-American,sativa,4,"Relaxed,Euphoric,Happy,Hungry","Earthy,Diesel,Sweet","Central American refers to the indigenous varieties of cannabis (or landraces) that grow natively in this region of the world. Because of this region's latitude and climate, these native landrace strains tend to be sativa in structure and effect. "
Cerebro-Haze,sativa,4.2,"Uplifted,Happy,Relaxed,Creative,Energetic","Pepper,Citrus,Vanilla","Cerebro Haze is a sativa-dominant strain that crosses Brain OG with Tom Hills Haze. As its name suggests, Cerebro Haze focuses its efforts in the head and provides a clean, clear buzz that allows you to stay active and functional. Despite its sativa influence, Cerebro Haze still provides relaxing full-body effects preferred by patients treating pain and headaches."
Chairman-Chem-Sou,hybrid,4.4,"Energetic,Happy,Uplifted,Creative,Euphoric","Diesel,Pepper,Citrus","Chairman Chem Sou is another Chemdawg cross from Royal Choice Farms. This tart combination unites the ever-popular Chemdawg with Sour OG for a sour, spicy aroma and an equal measure of mental and physical effects. It has been known to suppress the appetite, elevate mood, and encourage physical activity. The palate is sweet and tangy, offering notes of citrus and pine with a fuel-like finish.   "
Champagne-Kush,hybrid,4.2,"Happy,Uplifted,Relaxed,Euphoric,Talkative","Citrus,Sweet,Earthy","Champagne Kush is an indica-dominant hybrid that offers a variety of attributes suited to different tastes and ailments. With a pleasant and palpable weight on the limbs coupled with a heady, thoughtful mind, this strain adapts to the consumer’s needs with dosage. On the lighter end, expect a headier trip with mood enhancing effects that generally lead to a sense of well-being. But with continued consumption, this strain can lead to a weighted body and mind that feels meditative at its core.    "
Charlie-Sheen,hybrid,4.6,"Happy,Euphoric,Relaxed,Sleepy,Focused","Pine,Sweet,Lemon","Charlie Sheen is an indica-dominant hybrid, parented by Green Crack, OG Kush, and Blue Dream. These lemon-scented buds taste likewise, with a distinct undercurrent of kush. The effects are relaxing and uplifted, with a lengthy, sleepy come-down great for pain relief and insomnia."
Charlottes-Web,sativa,4.5,"Relaxed,Uplifted,Focused,Happy,Energetic","Earthy,Flowery,Sweet","Charlotte’s Web is a cultivar with less than 0.3% THC that has gained popularity as an option for treating seizures as well as a range of other medical conditions. This medical potency is due to its high-CBD content, which was specifically cultivated by Colorado breeders The Stanley Brothers for a young epileptic patient named Charlotte. Contrary to popular belief, Charlotte’s Web is a hemp-derived product with little to no psychoactive effects, making it great for those who don’t want their medication to affect their daily tasks. Charlotte’s powerful web may cause dizziness for some patients, so new users should be cautious. Learn more about Charlotte's Web here."
Cheese,hybrid,4.1,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Cheese,Earthy,Pungent","Named for its sharply sour aroma, Cheese is an indica-dominant hybrid from the U.K. that has achieved widespread popularity for its unique flavor and consistent potency. With origins that stretch back to the late 1980s, Cheese is said to descend from a Skunk #1 phenotype whose pungent aroma made it stand out. Breeders like Big Buddha Seeds later introduced Afghani indica genetics to increase Cheese’s trichome production and yields. The resulting hybrid is now well-known for its relaxed, happy effects that gently ease you into a blissful state of mind."
Cheese-Candy,hybrid,4.3,"Relaxed,Uplifted,Happy,Sleepy,Creative","Cheese,Sweet,Pungent","Cheese Candy by Delicious Seeds is the hybrid lovechild of Cheese and Caramelo, a combination of parent strains that results in an unusual fusion of sweet candy and sharp cheese flavors. The sweet and sour aroma is accented by flowery, fruity flavors which usher in Cheese Candy’s deeply relaxing characteristics. Its long, slender buds are wrapped in fiery orange hairs that stand in vibrant contrast to this hybrid’s sage green hues."
Cheese-Quake,hybrid,4.3,"Euphoric,Uplifted,Relaxed,Tingly,Happy","Ammonia,Citrus,Rose","Cheese Quake by TGA Subcool Seeds is a 60/40 indica-dominant cross between Cheese and Querkle.  A hint of grape is detectable, but its aroma is led by the funky sour aroma commonly associated with Cheese hybrids. Expect to feel tingy invigoration followed by uplifting body sensations to help you feel relaxed and carefree."
Cheeseburger,hybrid,3.3,"Tingly,Uplifted,Relaxed,Aroused,Creative","Cheese,Pepper,Tea","Cheeseburger by Cannasol Farms (of Omak, Washington) is a deep, sumptuous strain that leaves the consumer feeling satisfied, like a cheeseburger after a hard day’s work. With a long, mysterious heritage coming out of Okanogan, this indica-dominant strain was entrusted to Cannasol to ensure its wholesome genetics were preserved. With yield-per-plant weight reaching several pounds each, this plant grows and grows. Cheeseburger has been known to grow especially well with long summer nights, and matures when the first ears of corn ripen on the stalk."
Cheesewreck,hybrid,4.3,"Happy,Relaxed,Uplifted,Creative,Euphoric","Cheese,Woody,Pungent","Cheesewreck is a sativa-dominant hybrid bred by Seedism Seeds that brings together the pungent, sour aroma of Cheese with the staggering potency of Trainwreck. The effects of this hybrid may not settle in right away, but when they do, Cheesewreck reminds you of its Trainwreck genes with crushing euphoria and full-body relaxation. Cheesewreck trails off into a comfortable sleepiness over time and settles racing thoughts as you wind down for the night. High yields of Cheesewreck will be ready for harvest following its 9 to 10 week flowering cycle indoors."
Chem-Crush,hybrid,4.1,"Talkative,Energetic,Happy,Creative,Uplifted","Sweet,Earthy,Pungent",Chem Crush is a hybrid strain that took 2nd place in the 2014 Denver Cannabis Cup.
Chem-Dog,indica,4.7,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Lavender,Sweet,Citrus","Chem D.O.G., not to be confused with Chemdawg, is a potent Chemdawg and OG Kush cross that harnesses the best qualities of either strain. With an expansive terpene profile that includes limonene, caryophyllene, and myrcene, this strain has a spiced citrus nose with touches of chemical and earth. This bouquet of aromas illustrates the complex effects nestled below Chem D.O.G.’s frosty greenery, which offer soothing physical relaxation after a powerful rush brought on by the strain’s high THC content."
Chem-Jack,hybrid,5,"Talkative,Uplifted,Creative,Happy,Aroused","Earthy,Sweet,Flowery","Chem Jack is the common sense cross of Chemdawg and Jack Herer. This sativa-dominant hybrid expresses lime green buds with dark brown pistils. Its buds smell sweet and herbal while the taste of the smoke is intensely piney, bordering on chemical. The effects are centered and relaxing, helping consumers shrug off stress and improve mood. Chem Jack can push 25% THC, so mind your dosage. Chem Jack’s functional buzz can become whimsical and moderately sedating with continued consumption. "
Chem-Jong-Ill,hybrid,5,"Uplifted,Creative,Happy,Talkative,Energetic",,"This sativa-dominant cross is for cannabis pros looking to take the top third of their head clean off! Chem Jong Ill is a powerful hybrid by Colorado Seed Inc. that was bred using Chemdawg #4 and Gupta Kush genetics. Built for potency and longevity, this strain is an excellent option for extended physical activity, offering an uplifted, airy high in the body that is easy on the joints. The aroma is thick with a chemical funk and floral notes typical to Kush varieties."
Chem-Scout,indica,4.5,"Relaxed,Euphoric,Focused,Happy,Creative","Earthy,Skunk,Tea","Chem Scout, bred by IC Collective, is an indica-dominant strain that took 1st place in the 2014 High Times Cannabis Cup in San Fransisco. This cross between Chemdawg 91 and Girl Scout Cookies delivers a blast of cerebral euphoria that tapers into full-body relaxation with time. "
Chem-Valley-Kush,hybrid,4.3,"Relaxed,Euphoric,Happy,Tingly,Sleepy","Diesel,Earthy,Pine",Chem Valley Kush is a sativa-leaning hybrid cross between Chemdawg and SFV OG Kush bred by Cali Connection.
Chemdawg,hybrid,4.3,"Relaxed,Happy,Euphoric,Uplifted,Creative","Diesel,Earthy,Pungent","Chemdawg has developed quite the name for itself over the years. Between its mysterious origin, ambiguous genetics, and the plethora of successful crosses the strain has produced, Chemdawg has practically secured itself a permanent place in the cannabis hall of fame. The original source of powerhouse strains like Sour Diesel and OG Kush, Chemdawg is known for its distinct, diesel-like aroma. Pungent and sharp, you’ll be able to smell this hybrid from a mile away. Cannabis newbies be warned: Chemdawg tends to be very potent. Depending on grow conditions, this strain tends to have THC levels of 15-20%. Consumers can expect to have a very cerebral experience, coupled with a strong heavy-bodied feeling.  "
Chemdawg-4,hybrid,4.4,"Relaxed,Euphoric,Happy,Hungry,Uplifted","Pine,Diesel,Lemon","Part of the prominent line of Chemdawg strains, Chemdawg 4 is unlike its counterparts as it is indica-dominant. Known to affect users with a head sensation within the first five minutes, the effects can often be full-body. Its smell has been likened to citrus or even Pine-Sol, with a lemon flavor. With light-green buds, Chemdawg 4 grows to be a fairly tall plant, reaching up to 7 feet outdoors and 4-5 feet indoors, and its flowering time is 9-10 weeks. It often appears to have a large amount of crystals, with orange hairs growing from the buds. "
Chemdawg-4-X-Alien-Og-Kush,hybrid,4.5,"Relaxed,Energetic,Happy,Euphoric,Creative","Nutty,Mint,Flowery","Chemdawg #4 x Alien OG Kush is a sativa-dominant hybrid strain offered exclusively by LivWell in Colorado. Sour and skunky in flavor, these pungent buds carry a complex fragrance with notes of earthy Kush and fresh pine. Prepare yourself for a blissful, relaxing experience that overtakes both mind and body, because this potent strain can skirt past 23% THC. "
Chemdawg-91,hybrid,4.5,"Euphoric,Uplifted,Relaxed,Happy,Tingly","Earthy,Diesel,Pungent","Much like many other members of the Chemdawg line, the origins of Chemdawg 91 are shrouded in mystery. Rumor has it that the lineage was first cultivated by the illustrious East Coast breeder who also goes by the name of Chemdawg, and some speculate it descends from a Thai landrace strain. Chemdawg 91 is thought to be an offshoot of the original Chemdawg strain, and the numerical addition of “91” is believed to reference the year the strain first came into existence.Some growers believe Chemdawg 91 to be a cross between Chemdawg and Skunk, which may explain its particularly pungent aroma. In true family spirit, this hybrid has a very strong diesel smell with a piney-lemon aftertaste. Most Chemdawg 91 crops tend to lean sativa, though you may find indica variants on some dispensary and retail shelves. Consumers should expect a cerebral buzz from this strain. "
Chemdawg-Sour-Diesel,hybrid,4.5,"Uplifted,Happy,Euphoric,Relaxed,Energetic","Diesel,Pine,Pungent","Chemdawg Sour Diesel (or Chem Sour) from Reservoir Seeds is a sativa-dominant hybrid cannabis strain that combines champion genetics from Chemdawg D and Sour Diesel. With a sharp sour bite, Chemdawg Sour Diesel has a funky fuel and earthy pine aroma that stuns the senses. Its buzzing euphoria leaves you feeling elevated and uplifted, but anxiety-prone individuals should tread carefully with this high-flying sativa. "
Chemmy-Jones,hybrid,4.7,"Happy,Relaxed,Euphoric,Creative,Uplifted","Earthy,Flowery,Pine","Chemmy Jones by Connoisseur Genetics is a hybrid strain that unites genetics from Chemdawg D and Casey Jones. Uplifting and revitalizing, Chemmy Jones manages to induce a functional, high-energy buzz that allows you to stay productive. Diesel flavors are counterbalanced by a floral sweetness, inviting the senses before you even indulge in the invigorating effects this sativa-dominant strain has to offer."
Chemnesia,hybrid,4.8,"Uplifted,Euphoric,Relaxed,Happy,Energetic","Diesel,Sweet,Citrus","Chemnesia has been dubbed one of the most powerful strains in Illinois by its breeder, Bedford Grow. This genetic synthesis of Amnesia Sour Diesel and I-95 offers consumers invigorating mental and physical effects that help combat fatigue, depression, and inflammation. The potent strain can also promote focus and creativity in the proper dose. Emitting a pleasant aroma of citrus and fuel, Chemnesia’s terpene and cannabinoid profile make for a quality sativa-dominant hybrid.  "
Chemo,indica,4.4,"Relaxed,Euphoric,Sleepy,Happy,Hungry","Earthy,Woody,Pine","Rumor has it that Chemo’s beginnings stretch back to the 1970s in Canada where this heavy indica was allegedly developed to treat the side effects of chemotherapy. Another name for this strain is “UBC Chemo” in reference to the university in which Chemo is said to have been conceived. Chemo’s genetics is carried on by Jordan of the Islands, whose rendition is best known for its subtle woody aroma and potent medicinal effects perfect for patients treating nausea, appetite loss, pain, and sleeplessness. "
Chems-Sister,sativa,4.5,"Creative,Euphoric,Happy,Focused,Relaxed","Chemical,Pungent,Citrus","Chem’s Sister, also known as Chem Sis, is a sativa-dominant variation of the classic Chemdawg strain. This phenotype first emerged in 1996 and has since evolved into the uplifting, long-lasting sativa we see on the market today. Her strong cerebral effects come coupled with a distinct skunky diesel aroma underscored by accents of sweet sandalwood and citrus. Over the course of her maturation, Chem Sis’s mint green buds burst with white hairs that darken with age."
Chemwreck,hybrid,4.6,"Uplifted,Talkative,Happy,Relaxed,Energetic","Diesel,Chemical,Pungent","ChemWreck is a sativa-dominant hybrid bred by Lionhart. The combination of Chemdawg and Trainwreck genetics gives way to a pungent aroma of diesel fumes that produces flavors of lemon, citrus, and pine. The potent effects of ChemWreck are uplifting and energetic, providing creative stimulation and deep relaxation without putting you to sleep."
Chernobyl,hybrid,4.4,"Happy,Euphoric,Relaxed,Energetic,Uplifted","Citrus,Lime,Lemon","Chernobyl is a sativa-dominant hybrid strain that carries a unique lime sherbet smell. Originally bred by TGA Genetics, this citrusy strain descends from Trainwreck, Jack the Ripper, and Trinity. Expect dreamy, long-lasting cerebral effects that will float you to a happy mood and relaxed mindsets. "
